,3/24-3/30,3/31-4/6,4/7-4/13,4/14-4/20,4/21-4/27,4/28-5/4,5/5-5/11,5/12-5/18,5/19-5/25,5/26-6/1,6/2-6/8,6/9-6/15,6/16-6/22,6/23-6/29,6/30-7/6,7/7-7/13,7/14-7/20,7/21-7/27,7/28-8/3,8/4-8/10,8/11-8/17,8/18-8/24,8/25-8/31,9/1-9/7,9/8-9/14,9/15-9/21,9/22-9/28,9/29-10/5,10/6-10/12,10/13-10/19,10/20-10/26,10/27-11/2,11/3-11/9,11/10-11/16,11/17-11/23,11/24-11/30,12/1-12/7,12/8-12/14
ankle,,,,,,=3,,,,True,True,True,True,True,True,True,True,False,True,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
hip flexors,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,True
knee/acl,=12,10,=6,,=2+3+3,=3+3+3,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
rotator cuff,,=6,=2+2+2,=2+2,=2+3+2,=2+2,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
tibialis,,=4,=2+2+2,=2+2,=2+2,=2,,,,True,True,True,True,True,True,True,True,False,True,False,False,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,True,True
wrists,,=10,=4+6+2+2,=4+3+2,=3+2+2+2,=2+2+2,,,,True,False,False,True,False,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
running
vo2 max,,,,,,,,,,,,,,,,,,,,,"3x2:2, 3x2:1"
threshold,,,,,,,,,,,,,,,,,,,,,2x10min,17+5mins
easy runs,,,,,,,,,,,,,,,,,,,,,2.5 miles,,3 miles
long runs,,,,,,,,,,,,,,,,,,,,,,,4 miles

NOTES/ISSUES,,,,the low numbers are accounted for: WE-in-1 plan due to RWB ride along full day Saturday. Still got to the gym at the end of the day though - good job on consistency. Nice job getting good volume on legs with little knee issue.,straps are a breakthrough for getting the back working - finally! shoulders are feeling strong.,,,,,,,,,,,,,,,,knee pain,knee pain largely resolved after dyer-crystal scramble day,leg volume down because circuits make them sore too (although I guess soreness is not an excuse to go easy on legs...),,impressing myself with my conditioning on the ice... I can just keep going!,"failed the leadville fire PAT, likely because lack of recovery... lessons to be learned... otherwise, upper body has been feeling strong despite getting over a cold (sleep helped a lot). legs have been a bit tired due to more skating, also sickness affecting recovery. early week knee pain, but the quality is changed, not really anterior anymore, it's deep inside. thinking i'll adapt (already am I think). forearms also felt toasted during PAT... stickhandling affecting it? chest volume down because dealing with an upper pec (?) strain. pec taping helping. also wrist taping due to issues there.",,"just noticing the major plyo increase. knee feels ok though considering, nothing like that time in the summer when I jacked up the plyos and had major pain. snowboarding season is starting soon...! skating is improving. fireground circuit is way fast than usual (37mins vs close to 50mins when I started doing them) so I changed it from a total of 10 rounds to 15, we'll see how that goes this upcoming week.","plyos felt really strong today. top end speed felt weak though, probably still sleep deprived from work + PMS recently",,"switched into 1st transition phase. snowboarded twice this week, legs are handling it well, going to continue to ease into the increased volume in my legs. wrist issues, probably because i haven't been doing my reverse curls and dead hangs - reminder that the small stuff matters!",,"oh boy I took a slam in some shit early season conditions at breck. missed deadlift day later that day because my deep left side was feeling bad. but i tried the next day and PRed, so, it ended up good as long as I brace my abs (zero aggravation). I also have to admit it probably helped that i had that extra day of ""recovery"" to go hard the next day on deadlifts and legs (PRed everything there too). going to take it easy on the rotation/hip flexor stuff and ease back into using that. can't back off totally because as we know, my body doesn't like to fix itself unless it realizes it has to. lol.",took cpat this week (failed). felt wasted the following day - deadlifts took a hit from that. back on the up the next day with legs though.,,,"volume is down because I got the stomach bug and barely ate for about 2 days. consciously worked on refilling carbs afterwards. also struggled with electrolyte loss, working on hydrating and salt. based on improved bench performance, I'm on the up.",volume down because more hockey practice meant my legs were NOT recovering. also had an orchestra concert sunday and I didn't want to waste my upper body. so volume is quite down. intention is to pick it back up this upcoming week.
